%6|1760084338.533|GETSUBSCRIPTIONS|rdkafka#consumer-1| [thrd:main]: Telemetry client instance id changed from AAAAAAAAAAAAAAAAAAAAAA to vGhewPqjQWO2/kVNu3ec+A
Starting consumer with Confluent client...
Consumer will run for 30 seconds...
Frame 0001: Prediction='monitor', Latency=60.11 ms
Frame 0057: Prediction='oscilloscope', Latency=51.52 ms
Frame 0058: Prediction='oscilloscope', Latency=51.21 ms
Frame 0059: Prediction='oscilloscope', Latency=49.55 ms
Frame 0060: Prediction='oscilloscope', Latency=52.16 ms
Frame 0061: Prediction='oscilloscope', Latency=48.54 ms
Frame 0062: Prediction='library', Latency=50.28 ms
Frame 0063: Prediction='oscilloscope', Latency=78.24 ms
Frame 0064: Prediction='oscilloscope', Latency=51.64 ms
Frame 0065: Prediction='oscilloscope', Latency=53.52 ms
Frame 0066: Prediction='oscilloscope', Latency=58.54 ms
Frame 0067: Prediction='oscilloscope', Latency=50.65 ms
Frame 0068: Prediction='oscilloscope', Latency=50.84 ms
Frame 0069: Prediction='oscilloscope', Latency=57.15 ms
Frame 0070: Prediction='library', Latency=53.58 ms
Frame 0071: Prediction='library', Latency=51.29 ms
Frame 0072: Prediction='oscilloscope', Latency=52.81 ms
Frame 0073: Prediction='library', Latency=54.12 ms
Frame 0074: Prediction='monitor', Latency=54.66 ms
Frame 0075: Prediction='oscilloscope', Latency=55.30 ms
Frame 0076: Prediction='oscilloscope', Latency=50.57 ms
Frame 0077: Prediction='oscilloscope', Latency=51.57 ms
Frame 0078: Prediction='oscilloscope', Latency=53.34 ms
Frame 0079: Prediction='oscilloscope', Latency=62.55 ms
Frame 0080: Prediction='library', Latency=52.73 ms
Frame 0081: Prediction='oscilloscope', Latency=52.88 ms
Frame 0082: Prediction='oscilloscope', Latency=51.62 ms
Frame 0083: Prediction='oscilloscope', Latency=51.53 ms
Frame 0084: Prediction='monitor', Latency=52.05 ms
Frame 0085: Prediction='monitor', Latency=52.13 ms
Frame 0086: Prediction='oscilloscope', Latency=52.62 ms
Frame 0087: Prediction='oscilloscope', Latency=51.87 ms
Frame 0088: Prediction='oscilloscope', Latency=49.98 ms
Frame 0089: Prediction='library', Latency=50.04 ms
Frame 0090: Prediction='library', Latency=51.33 ms
Frame 0091: Prediction='oscilloscope', Latency=53.58 ms
Frame 0092: Prediction='oscilloscope', Latency=55.80 ms
Frame 0093: Prediction='oscilloscope', Latency=61.78 ms
Frame 0094: Prediction='oscilloscope', Latency=52.05 ms
Frame 0095: Prediction='oscilloscope', Latency=51.26 ms
Frame 0096: Prediction='oscilloscope', Latency=54.17 ms
Frame 0097: Prediction='monitor', Latency=48.53 ms
Frame 0098: Prediction='oscilloscope', Latency=49.54 ms
Frame 0099: Prediction='oscilloscope', Latency=49.04 ms
Frame 0100: Prediction='oscilloscope', Latency=51.56 ms
Frame 0101: Prediction='oscilloscope', Latency=47.53 ms
Frame 0102: Prediction='oscilloscope', Latency=50.06 ms
Frame 0103: Prediction='oscilloscope', Latency=55.66 ms
Frame 0104: Prediction='oscilloscope', Latency=52.06 ms
Frame 0105: Prediction='oscilloscope', Latency=50.54 ms
Frame 0106: Prediction='oscilloscope', Latency=50.67 ms
Frame 0107: Prediction='oscilloscope', Latency=51.84 ms
Frame 0108: Prediction='oscilloscope', Latency=59.15 ms
Frame 0109: Prediction='oscilloscope', Latency=57.62 ms
Frame 0110: Prediction='oscilloscope', Latency=58.93 ms
Frame 0111: Prediction='library', Latency=50.86 ms
Frame 0112: Prediction='oscilloscope', Latency=48.44 ms
Frame 0113: Prediction='library', Latency=49.34 ms
Frame 0114: Prediction='library', Latency=79.07 ms
Frame 0115: Prediction='oscilloscope', Latency=59.55 ms
Frame 0116: Prediction='oscilloscope', Latency=59.65 ms
Frame 0117: Prediction='oscilloscope', Latency=52.66 ms
Frame 0118: Prediction='oscilloscope', Latency=59.17 ms
Frame 0119: Prediction='oscilloscope', Latency=53.35 ms
Frame 0120: Prediction='oscilloscope', Latency=50.39 ms
Frame 0121: Prediction='oscilloscope', Latency=48.84 ms
Frame 0122: Prediction='oscilloscope', Latency=49.04 ms
Frame 0123: Prediction='oscilloscope', Latency=51.54 ms
Frame 0124: Prediction='oscilloscope', Latency=50.04 ms
Frame 0125: Prediction='oscilloscope', Latency=49.54 ms
Frame 0126: Prediction='oscilloscope', Latency=51.53 ms
Frame 0127: Prediction='oscilloscope', Latency=49.04 ms
Frame 0128: Prediction='oscilloscope', Latency=49.36 ms
Frame 0129: Prediction='oscilloscope', Latency=67.33 ms
Frame 0130: Prediction='oscilloscope', Latency=53.20 ms
Frame 0131: Prediction='oscilloscope', Latency=48.56 ms
Frame 0132: Prediction='oscilloscope', Latency=50.04 ms
Frame 0133: Prediction='oscilloscope', Latency=51.53 ms
Frame 0134: Prediction='oscilloscope', Latency=49.54 ms
Frame 0135: Prediction='oscilloscope', Latency=51.05 ms
Frame 0136: Prediction='oscilloscope', Latency=50.25 ms
Frame 0137: Prediction='oscilloscope', Latency=49.42 ms
Frame 0138: Prediction='oscilloscope', Latency=48.53 ms
Frame 0139: Prediction='oscilloscope', Latency=50.06 ms
Frame 0140: Prediction='oscilloscope', Latency=50.58 ms
Frame 0141: Prediction='oscilloscope', Latency=49.77 ms
Frame 0142: Prediction='oscilloscope', Latency=56.67 ms
Frame 0143: Prediction='oscilloscope', Latency=45.20 ms
Frame 0144: Prediction='oscilloscope', Latency=43.26 msTraceback (most recent call last):
  File "<frozen runpy>", line 198, in _run_module_as_main
  File "<frozen runpy>", line 88, in _run_code
  File "C:\Users\abhin\OneDrive\Documents\GitHub\ml-streaming-pipeline\streaming_simulator\consumer.py", line 94, in <module>
    main()
  File "C:\Users\abhin\OneDrive\Documents\GitHub\ml-streaming-pipeline\streaming_simulator\consumer.py", line 84, in main
    print("\n--- \U0001f4ca Performance Summary ---")
  File "C:\Users\abhin\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1252.py", line 19, in encode
    return codecs.charmap_encode(input,self.errors,encoding_table)[0]
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
UnicodeEncodeError: 'charmap' codec can't encode character '\U0001f4ca' in position 6: character maps to <undefined>

Frame 0145: Prediction='oscilloscope', Latency=47.81 ms
Frame 0146: Prediction='oscilloscope', Latency=51.71 ms
Frame 0147: Prediction='library', Latency=52.23 ms
Frame 0148: Prediction='oscilloscope', Latency=57.51 ms
Frame 0149: Prediction='library', Latency=58.14 ms
Frame 0150: Prediction='monitor', Latency=38.62 ms
Frame 0151: Prediction='oscilloscope', Latency=42.68 ms
Frame 0152: Prediction='oscilloscope', Latency=40.07 ms
Frame 0153: Prediction='oscilloscope', Latency=39.29 ms
Frame 0154: Prediction='monitor', Latency=45.88 ms
Frame 0155: Prediction='oscilloscope', Latency=45.42 ms
Frame 0156: Prediction='oscilloscope', Latency=53.47 ms
Frame 0157: Prediction='oscilloscope', Latency=52.68 ms
Frame 0158: Prediction='oscilloscope', Latency=50.96 ms
Frame 0159: Prediction='oscilloscope', Latency=43.84 ms
Frame 0160: Prediction='oscilloscope', Latency=40.39 ms
Frame 0161: Prediction='oscilloscope', Latency=38.04 ms
Frame 0162: Prediction='oscilloscope', Latency=37.49 ms
Frame 0163: Prediction='oscilloscope', Latency=40.74 ms
Frame 0164: Prediction='oscilloscope', Latency=39.66 ms
Frame 0165: Prediction='oscilloscope', Latency=37.43 ms
Frame 0166: Prediction='oscilloscope', Latency=40.34 ms
Frame 0167: Prediction='oscilloscope', Latency=70.20 ms
Frame 0168: Prediction='oscilloscope', Latency=50.77 ms
Frame 0169: Prediction='oscilloscope', Latency=37.79 ms
Frame 0170: Prediction='oscilloscope', Latency=38.54 ms
Frame 0171: Prediction='oscilloscope', Latency=35.56 ms
Frame 0172: Prediction='oscilloscope', Latency=37.45 ms
Frame 0173: Prediction='oscilloscope', Latency=38.61 ms
Frame 0174: Prediction='oscilloscope', Latency=39.19 ms
Frame 0175: Prediction='oscilloscope', Latency=37.68 ms
Frame 0176: Prediction='oscilloscope', Latency=63.17 ms
Frame 0177: Prediction='oscilloscope', Latency=40.60 ms
Frame 0178: Prediction='oscilloscope', Latency=54.09 ms
Frame 0179: Prediction='oscilloscope', Latency=42.35 ms
Frame 0180: Prediction='oscilloscope', Latency=42.67 ms
Frame 0181: Prediction='oscilloscope', Latency=38.64 ms
Frame 0182: Prediction='oscilloscope', Latency=41.05 ms
